gid,adm0_code,adm0_name,adm1_code,adm1_name,adm2_code,adm2_name,reason,location
3172,4,Algeria,376,Saida,38728,Ain El Hadjar,Ring Self-intersection,POINT(0.0156781860002297 34.8177986150001)
26693,44,Cambodia,65290,Area under National Administration 1,65291,Area under National Administration 1,Ring Self-intersection,POINT(104.141736949 12.736247707)
10138,46,Canada,835,Québec,12741,Laval,Ring Self-intersection,POINT(-73.8242619999997 45.5149270000001)
1486,49,Central African Republic,862,Nana-Mambéré,12875,Bouar,Ring Self-intersection,POINT(15.0932274190001 6.09402099200008)
1507,49,Central African Republic,866,Ouham Pendé,12890,Ngaoundaye,Ring Self-intersection,POINT(16.1355109720001 7.31974872000006)
1484,49,Central African Republic,862,Nana-Mambéré,12873,Baboua,Ring Self-intersection,POINT(14.867989261 5.49922974700002)
1464,49,Central African Republic,858,Lobaye,12853,Boda,Ring Self-intersection,POINT(17.3907545300002 3.75879879100006)
1451,49,Central African Republic,854,Basse-Kotto,12840,Mobaye,Ring Self-intersection,POINT(21.0708229750002 4.57570784800004)
37827,79,Ethiopia,47678,Oromia,47693,South West Shewa,Ring Self-intersection,POINT(38.7018554170001 8.92537382400013)
35199,122,Italy,1622,Lazio,18349,Rieti,Ring Self-intersection,POINT(12.5781650000001 42.2736100000002)
35214,122,Italy,1624,Lombardia,18364,Pavia,Ring Self-intersection,POINT(9.03645200000005 45.3037270000002)
35217,122,Italy,1625,Marche,18367,Ancona,Ring Self-intersection,POINT(13.079154 43.7137040000001)
22965,126,Japan,1658,Gifu,34006,Yaotutyoo,Ring Self-intersection,POINT(137.083206177 35.4485893250002)
9473,180,Nicaragua,2190,Chontales,22446,Administrative unit not available,Ring Self-intersection,POINT(-85.2105941769998 11.7508344650001)
29930,188,Pakistan,2275,North-West Frontier,40345,Mardan District,Ring Self-intersection,POINT(72.0794392540001 34.478021487)
29883,188,Pakistan,2272,Balochistan,40298,Kech District,Ring Self-intersection,POINT(61.806539253 25.7260964800001)
29926,188,Pakistan,2275,North-West Frontier,40341,Lakki Marwat District,Ring Self-intersection,POINT(70.7891892510001 32.8531464800002)
9638,191,Panama,2283,Colón,93681,Donoso,Ring Self-intersection,POINT(-79.891251 9.22430600000007)
9636,191,Panama,93669,Chiriquí,93679,Tolé,Ring Self-intersection,POINT(-81.5970219999999 8.29933900000015)
9637,191,Panama,2283,Colón,93680,Colón,Ring Self-intersection,POINT(-79.974601 9.12680900000009)
904,257,United Republic of Tanzania,115006,Mwanza,115045,Magu,Ring Self-intersection,POINT(33.1185880440001 -2.27687328199977)
953,257,United Republic of Tanzania,48366,Mara,115094,Butiam,Ring Self-intersection,POINT(33.9333541140001 -1.51279050599987)
874,257,United Republic of Tanzania,115004,Kagera,48404,Bukoba,Ring Self-intersection,POINT(31.7110870340002 -1.31327386899983)
925,257,United Republic of Tanzania,48359,Dodoma,115066,Chamwino,Ring Self-intersection,POINT(35.8059217070001 -6.99725070199992)
980,257,United Republic of Tanzania,48357,Arusha,115121,Longido,Ring Self-intersection,POINT(36.1877537280001 -3.07092527099985)
10715,259,United States of America,3224,Georgia,29187,Schley,Ring Self-intersection,POINT(-84.3632125849999 32.3976478580001)
10466,259,United States of America,3219,Colorado,28938,Denver,Ring Self-intersection,POINT(-104.934112549 39.6981239320002)
10727,259,United States of America,3224,Georgia,29199,Terrell,Ring Self-intersection,POINT(-84.3052062989999 31.6910572050001)
12706,259,United States of America,3256,Tennessee,31177,Roane,Ring Self-intersection,POINT(-84.5399627689999 35.6704635620001)
13126,259,United States of America,3260,Virginia,31597,Prince William,Ring Self-intersection,POINT(-77.4345703129999 38.7772674560002)
(30 rows)
