COUNTRY,AAS 2012 Report,AAS 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Argentina,0,1,1,,,,,
Australia,0,1,1,,,,,
Bangladesh,1,1,1,,,,,
Belgium,0,1,1,,,,,
Cambodia,1,1,1,,,,,
Denmark,0,1,1,,,,,
France,0,1,1,,,,,
Germany,0,1,1,,,,,
Ghana,1,1,1,,,,,
Guyana,0,1,1,,,,,
Indonesia,1,1,1,,,,,
Italy,0,1,1,,,,,
Kenya,1,1,1,,,,,
Lithuania,0,1,1,,,,,
Malawi,1,1,1,,,,,
Malaysia,0,1,1,,,,,
Mozambique,0,1,1,,,,,
Myanmar,1,1,1,,,,,
Nepal,0,1,1,,,,,
Philippines,1,1,1,,,,,
Solomon Islands,1,1,1,,,,,
Sri Lanka,1,1,1,,,,,
Sweden,0,1,1,,,,,
Thailand,0,1,1,,,,,
Tunisia,0,1,1,,,,,
UK,0,1,1,,,,,
USA,0,1,1,,,,,
Vietnam,0,1,1,,,,,
Zambia,1,1,1,,,,,
