COUNTRY,Humid Tropics 2012 Report,Humid Tropics 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Angola,0,1,1,,,,,
Australia,0,1,1,,,,,
Benin,1,0,1,,,,,
Burundi,1,0,1,,,,,
Cambodia,1,0,1,,,,,
Cameroon,0,1,1,,,,,
Colombia,1,0,1,,,,,
Costa Rica,1,0,1,,,,,
Democratic Republic of Congo,0,1,1,,,,,
Ethiopia,1,1,1,,,,,
Germany,0,1,1,,,,,
Ghana,1,1,1,,,,,
Honduras,1,0,1,,,,,
Kenya,1,1,1,,,,,
Madagascar,1,0,1,,,,,
Malawi,1,0,1,,,,,
Mexico,1,0,1,,,,,
Myanmar,1,0,1,,,,,
Nicaragua,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Peru,1,0,1,,,,,
Republic of Congo,1,0,1,,,,,
Rwanda,1,1,1,,,,,
Saint Lucia,0,1,1,,,,,
Swaziland,1,0,1,,,,,
Tanzania,1,0,1,,,,,
Tunisia,0,1,1,,,,,
Uganda,1,1,1,,,,,
Vietnam,0,1,1,,,,,
Zambia,1,0,1,,,,,
