CRP5 SRP,Literal,CRP5 IDO
1.0,Irrigated Systems,
1.1,Enhancing irrigation in sub-Saharan Africa,CRP5-IDO-01
1.2,Revitalizing public irrigation systems,CRP5-IDO-01
1.3,Water management in the Eastern Gangetic basin,CRP5-IDO-01
1.4,Managing salt-water balance in Indus and Central Asian irrigation systems,CRP5-IDO-01
1.5,Peri-urban agricultural water management,CRP5-IDO-01
2.0,Rainfed Systems,
2.1,Sustainable intensification of rainfed landscapes,CRP5-IDO-01
2.2,Recapitalizing soils and reducing degradation of landscapes,CRP5-IDO-04
2.3,Diverse and resilient farming systems,CRP5-IDO-05
2.4,Enhancing access to water and land for pastoralists,CRP5-IDO-04
2.5,Improved agricultural water management,CRP5-IDO-01
3.0,Resource Recovery and Reuse,
3.1,Business opportunities for resource recovery and reuse,CRP5-IDO-02
3.2,Safe wastewater and excreta reuse,CRP5-IDO-02
4.0,River Basins,
4.1,Managing water resources variability and re-thinking storage in basins,CRP5-IDO-01
4.2,Resource allocation and sharing for the benefit of all,CRP5-IDO-02
4.3,Water and energy for food,CRP5-IDO-05
4.4,Water data and accounting in basins,CRP5-IDO-05
5.0,Information Systems,
5.1,Decision-analysis,CRP5-IDO-07
5.2,Agro-ecosystem health metrics and monitoring,CRP5-IDO-07
